,N,F0,m,d_ms,d0,v0,prob,collision
130,10.0,-3479.0,1494.0,878.0,5.0,100.0,0.5,0.0
131,3.0,-1775.0,1662.0,901.0,3.0,72.0,0.5,0.0
133,6.0,-1356.0,1628.0,749.0,2.0,67.0,0.5,1.0
135,11.0,-154.0,1692.0,1426.0,2.0,142.0,0.5,1.0
136,4.0,-319.0,1711.0,1475.0,4.0,73.0,0.5,0.0
137,7.0,-2489.0,1744.0,969.0,3.0,109.0,0.5,1.0
138,11.0,-2590.0,1303.0,703.0,3.0,85.0,0.5,1.0
139,6.0,-2495.0,1540.0,938.0,4.0,94.0,0.5,0.0
140,3.0,-2864.0,1529.0,1175.0,5.0,81.0,0.5,0.0
142,7.0,-3622.0,1567.0,1142.0,3.0,88.0,0.5,0.0
143,4.0,-1737.0,1213.0,1244.0,2.0,88.0,0.5,1.0
145,3.0,-4758.0,1447.0,1096.0,5.0,73.0,0.5,0.0
146,9.0,-1334.0,1507.0,1322.0,4.0,144.0,0.5,0.0
147,11.0,-1216.0,1712.0,1406.0,4.0,123.0,0.5,0.0
148,10.0,-790.0,1392.0,1074.0,5.0,129.0,0.5,0.0
149,7.0,-3515.0,1614.0,967.0,5.0,113.0,0.5,0.0
150,11.0,-4135.0,1036.0,1307.0,3.0,118.0,0.5,1.0
152,10.0,-1272.0,1707.0,547.0,5.0,126.0,0.5,0.0
153,10.0,-2523.0,1614.0,1044.0,2.0,130.0,0.5,1.0
154,3.0,-376.0,1789.0,787.0,2.0,65.0,0.5,1.0
156,10.0,-3828.0,1645.0,1148.0,3.0,113.0,0.5,1.0
157,8.0,-721.0,1031.0,756.0,2.0,96.0,0.5,1.0
159,5.0,-4350.0,1437.0,1257.0,3.0,153.0,0.5,0.0
161,6.0,-1641.0,1458.0,1428.0,4.0,105.0,0.5,0.0
164,6.0,-820.0,1612.0,663.0,2.0,72.0,0.5,1.0
168,3.0,-2204.0,1049.0,763.0,5.0,68.0,0.5,0.0
169,6.0,-3258.0,1944.0,509.0,5.0,121.0,0.5,0.0
170,9.0,-3289.0,1698.0,817.0,5.0,100.0,0.5,0.0
172,10.0,-4391.0,1512.0,841.0,3.0,101.0,0.5,1.0
175,9.0,-2416.0,1148.0,1082.0,4.0,124.0,0.5,0.0
176,4.0,-2199.0,1861.0,804.0,5.0,63.0,0.5,0.0
178,4.0,-3237.0,1001.0,1272.0,5.0,73.0,0.5,0.0
181,7.0,-4231.0,1044.0,1237.0,4.0,144.0,0.5,0.0
184,10.0,-3139.0,1353.0,750.0,4.0,146.0,0.5,0.0
185,3.0,-1107.0,1714.0,881.0,2.0,146.0,0.5,1.0
186,11.0,-4500.0,1811.0,1356.0,3.0,116.0,0.5,1.0
187,4.0,-2706.0,1385.0,1158.0,3.0,156.0,0.5,1.0
188,11.0,-1430.0,1770.0,520.0,5.0,62.0,0.5,0.0
189,8.0,-419.0,1229.0,1049.0,2.0,64.0,0.5,1.0
190,3.0,-2856.0,1844.0,1061.0,5.0,132.0,0.5,0.0
192,7.0,-2765.0,1681.0,1369.0,4.0,129.0,0.5,0.0
193,8.0,-4531.0,1109.0,718.0,3.0,150.0,0.5,1.0
194,11.0,-4360.0,1674.0,581.0,2.0,129.0,0.5,1.0
197,11.0,-4395.0,1523.0,1227.0,4.0,73.0,0.5,1.0
198,3.0,-2897.0,1616.0,633.0,3.0,141.0,0.5,0.0
201,10.0,-3534.0,1012.0,1107.0,4.0,90.0,0.5,1.0
202,10.0,-3165.0,1982.0,1436.0,2.0,122.0,0.5,1.0
204,3.0,-2569.0,1718.0,1432.0,4.0,159.0,0.5,0.0
205,9.0,-3545.0,1027.0,977.0,4.0,157.0,0.5,0.0
206,5.0,-3316.0,1683.0,1214.0,3.0,152.0,0.5,1.0
207,6.0,-4802.0,1637.0,952.0,2.0,88.0,0.5,1.0
208,11.0,-1651.0,1425.0,1110.0,4.0,65.0,0.5,0.0
209,8.0,-2587.0,1465.0,898.0,5.0,94.0,0.5,0.0
210,9.0,-1407.0,1053.0,1276.0,2.0,100.0,0.5,1.0
212,10.0,-2716.0,1549.0,1096.0,3.0,140.0,0.5,1.0
