,N,F0,m,d_ms,d0,v0,prob,collision
63,9.0,-294.0,671.0,906.0,5.0,124.0,0.5,1.0
64,7.0,-3517.0,891.0,1299.0,4.0,74.0,0.5,1.0
65,11.0,-4561.0,734.0,810.0,2.0,83.0,0.5,1.0
72,6.0,-4710.0,768.0,864.0,2.0,140.0,0.5,1.0
77,11.0,-2435.0,761.0,526.0,4.0,155.0,0.5,0.0
78,5.0,-1056.0,977.0,806.0,4.0,109.0,0.5,0.0
82,9.0,-509.0,785.0,998.0,4.0,132.0,0.5,0.0
105,11.0,-2246.0,530.0,1392.0,5.0,131.0,0.5,1.0
108,6.0,-1451.0,859.0,1469.0,4.0,64.0,0.5,0.0
112,10.0,-4441.0,885.0,711.0,3.0,66.0,0.5,1.0
114,6.0,-4512.0,979.0,686.0,4.0,64.0,0.5,0.0
115,6.0,-2320.0,916.0,962.0,3.0,100.0,0.5,1.0
116,4.0,-1016.0,937.0,1494.0,5.0,137.0,0.5,0.0
118,6.0,-269.0,776.0,1087.0,4.0,128.0,0.5,1.0
124,8.0,-2728.0,973.0,1102.0,3.0,123.0,0.5,0.0
125,11.0,-678.0,816.0,1456.0,3.0,100.0,0.5,1.0
126,7.0,-818.0,756.0,1486.0,4.0,105.0,0.5,0.0
128,9.0,-4214.0,828.0,1135.0,5.0,82.0,0.5,1.0
132,8.0,-2356.0,983.0,954.0,2.0,66.0,0.5,1.0
134,8.0,-4513.0,561.0,1296.0,3.0,61.0,0.5,1.0
141,11.0,-3843.0,974.0,768.0,2.0,84.0,0.5,1.0
144,8.0,-148.0,678.0,806.0,4.0,72.0,0.5,0.0
151,11.0,-3371.0,879.0,1482.0,5.0,84.0,0.5,1.0
155,6.0,-645.0,990.0,723.0,5.0,112.0,0.5,0.0
158,8.0,-1095.0,619.0,1121.0,5.0,138.0,0.5,0.0
160,8.0,-3534.0,994.0,595.0,5.0,132.0,0.5,0.0
162,7.0,-1616.0,638.0,1380.0,2.0,130.0,0.5,1.0
163,5.0,-3810.0,708.0,1201.0,5.0,82.0,0.5,0.0
165,11.0,-3877.0,521.0,1128.0,3.0,127.0,0.5,1.0
166,5.0,-2861.0,788.0,1195.0,4.0,63.0,0.5,0.0
167,5.0,-611.0,945.0,1260.0,3.0,124.0,0.5,1.0
171,6.0,-2377.0,860.0,500.0,4.0,84.0,0.5,0.0
173,9.0,-3540.0,867.0,799.0,5.0,65.0,0.5,0.0
174,6.0,-3729.0,558.0,573.0,4.0,159.0,0.5,0.0
177,3.0,-987.0,914.0,1462.0,5.0,128.0,0.5,0.0
179,3.0,-2834.0,831.0,1066.0,4.0,83.0,0.5,0.0
180,7.0,-1456.0,902.0,1066.0,2.0,93.0,0.5,1.0
182,5.0,-229.0,739.0,1459.0,5.0,131.0,0.5,1.0
183,5.0,-3334.0,957.0,582.0,5.0,95.0,0.5,0.0
191,6.0,-3611.0,834.0,722.0,3.0,100.0,0.5,1.0
195,7.0,-840.0,520.0,1031.0,3.0,153.0,0.5,1.0
196,8.0,-2782.0,841.0,527.0,4.0,124.0,0.5,0.0
199,6.0,-2551.0,616.0,866.0,5.0,73.0,0.5,0.0
200,11.0,-2399.0,908.0,637.0,2.0,79.0,0.5,1.0
203,3.0,-2003.0,530.0,926.0,2.0,61.0,0.5,1.0
211,6.0,-1980.0,847.0,1207.0,5.0,87.0,0.5,0.0
214,4.0,-4546.0,617.0,621.0,2.0,79.0,0.5,1.0
215,8.0,-3784.0,719.0,1164.0,2.0,154.0,0.5,1.0
217,11.0,-928.0,669.0,600.0,4.0,61.0,0.5,0.0
225,6.0,-1744.0,846.0,1348.0,4.0,74.0,0.5,0.0
229,10.0,-108.0,888.0,545.0,5.0,109.0,0.5,1.0
231,6.0,-2763.0,807.0,995.0,3.0,82.0,0.5,0.0
238,6.0,-3191.0,501.0,1282.0,5.0,64.0,0.5,1.0
240,4.0,-590.0,917.0,1381.0,2.0,126.0,0.5,1.0
243,4.0,-3503.0,629.0,1368.0,3.0,152.0,0.5,1.0
245,7.0,-2286.0,838.0,715.0,5.0,111.0,0.5,0.0
246,3.0,-3656.0,712.0,1048.0,3.0,143.0,0.5,1.0
249,4.0,-4474.0,712.0,1128.0,5.0,76.0,0.5,0.0
251,11.0,-1499.0,508.0,1043.0,4.0,114.0,0.5,1.0
252,6.0,-394.0,616.0,911.0,4.0,93.0,0.5,0.0
253,10.0,-1227.0,593.0,1028.0,3.0,157.0,0.5,1.0
255,3.0,-899.0,679.0,1317.0,4.0,153.0,0.5,0.0
258,8.0,-4564.0,911.0,865.0,3.0,142.0,0.5,1.0
261,10.0,-345.0,759.0,993.0,3.0,95.0,0.5,1.0
262,10.0,-198.0,519.0,1156.0,5.0,82.0,0.5,0.0
263,3.0,-3303.0,956.0,1095.0,2.0,130.0,0.5,1.0
264,5.0,-518.0,522.0,672.0,5.0,85.0,0.5,0.0
269,7.0,-228.0,501.0,672.0,2.0,113.0,0.5,1.0
272,7.0,-2143.0,646.0,657.0,5.0,146.0,0.5,0.0
273,3.0,-2660.0,512.0,1194.0,4.0,128.0,0.5,0.0
276,7.0,-980.0,591.0,1333.0,2.0,121.0,0.5,1.0
277,6.0,-769.0,941.0,1440.0,3.0,112.0,0.5,0.0
282,10.0,-3105.0,748.0,667.0,2.0,131.0,0.5,1.0
308,4.0,-852.0,896.0,1205.0,2.0,158.0,0.5,1.0
310,7.0,-1168.0,721.0,733.0,3.0,149.0,0.5,1.0
316,7.0,-4604.0,933.0,911.0,2.0,135.0,0.5,1.0
318,5.0,-3566.0,901.0,994.0,5.0,148.0,0.5,0.0
322,9.0,-1717.0,728.0,908.0,3.0,87.0,0.5,0.0
324,11.0,-3034.0,852.0,1072.0,3.0,87.0,0.5,1.0
325,7.0,-112.0,811.0,678.0,2.0,71.0,0.5,1.0
328,4.0,-2164.0,729.0,1475.0,4.0,60.0,0.5,0.0
330,9.0,-1938.0,749.0,637.0,5.0,151.0,0.5,0.0
331,4.0,-2834.0,939.0,871.0,2.0,99.0,0.5,1.0
332,9.0,-756.0,914.0,545.0,4.0,150.0,0.5,0.0
336,6.0,-3295.0,502.0,1228.0,4.0,68.0,0.5,1.0
338,4.0,-2628.0,604.0,1033.0,4.0,157.0,0.5,0.0
343,11.0,-3903.0,569.0,712.0,3.0,66.0,0.5,1.0
344,7.0,-3231.0,988.0,698.0,3.0,136.0,0.5,1.0
348,9.0,-4050.0,510.0,993.0,2.0,68.0,0.5,1.0
349,8.0,-333.0,836.0,1138.0,2.0,143.0,0.5,1.0
351,11.0,-2401.0,546.0,1202.0,3.0,61.0,0.5,1.0
353,6.0,-4385.0,986.0,1363.0,4.0,118.0,0.5,0.0
355,4.0,-192.0,584.0,837.0,4.0,95.0,0.5,0.0
362,8.0,-915.0,576.0,874.0,3.0,87.0,0.5,1.0
364,7.0,-1134.0,598.0,582.0,5.0,119.0,0.5,0.0
368,8.0,-4668.0,646.0,1242.0,4.0,116.0,0.5,1.0
369,7.0,-4880.0,502.0,1351.0,2.0,74.0,0.5,1.0
373,5.0,-362.0,943.0,1247.0,5.0,110.0,0.5,0.0
375,7.0,-4926.0,873.0,1261.0,3.0,118.0,0.5,1.0
378,3.0,-4461.0,805.0,1062.0,5.0,125.0,0.5,0.0
379,11.0,-1034.0,880.0,538.0,2.0,72.0,0.5,1.0
381,10.0,-3057.0,645.0,1208.0,3.0,137.0,0.5,1.0
390,9.0,-851.0,922.0,1053.0,2.0,100.0,0.5,1.0
391,9.0,-4048.0,625.0,1377.0,4.0,131.0,0.5,1.0
392,9.0,-4413.0,769.0,1230.0,2.0,97.0,0.5,1.0
395,3.0,-4324.0,667.0,1025.0,5.0,76.0,0.5,0.0
401,10.0,-796.0,915.0,1135.0,3.0,82.0,0.5,0.0
404,5.0,-3421.0,570.0,1481.0,3.0,82.0,0.5,1.0
405,5.0,-1142.0,853.0,718.0,5.0,114.0,0.5,0.0
406,7.0,-1766.0,949.0,901.0,5.0,129.0,0.5,0.0
407,3.0,-4790.0,758.0,900.0,2.0,78.0,0.5,1.0
408,6.0,-1320.0,947.0,941.0,3.0,127.0,0.5,0.0
411,8.0,-1190.0,845.0,542.0,3.0,102.0,0.5,0.0
418,5.0,-3604.0,531.0,1202.0,3.0,68.0,0.5,1.0
427,7.0,-3094.0,664.0,1062.0,3.0,147.0,0.5,1.0
429,9.0,-945.0,593.0,1253.0,2.0,152.0,0.5,1.0
430,7.0,-1010.0,622.0,694.0,5.0,82.0,0.5,0.0
432,4.0,-3211.0,693.0,517.0,4.0,136.0,0.5,0.0
435,5.0,-2695.0,638.0,814.0,3.0,137.0,0.5,1.0
437,5.0,-1084.0,773.0,736.0,2.0,97.0,0.5,1.0
449,3.0,-854.0,954.0,1099.0,2.0,95.0,0.5,1.0
450,10.0,-3197.0,551.0,965.0,4.0,66.0,0.5,1.0
453,10.0,-1168.0,885.0,1295.0,5.0,121.0,0.5,0.0
463,8.0,-4841.0,723.0,739.0,4.0,126.0,0.5,1.0
465,3.0,-3088.0,935.0,1473.0,3.0,149.0,0.5,0.0
467,11.0,-1597.0,902.0,1393.0,3.0,130.0,0.5,1.0
468,8.0,-4348.0,520.0,1263.0,3.0,77.0,0.5,1.0
471,11.0,-1489.0,534.0,534.0,3.0,93.0,0.5,1.0
472,5.0,-2047.0,977.0,1299.0,5.0,82.0,0.5,0.0
474,4.0,-3271.0,685.0,904.0,4.0,67.0,0.5,0.0
475,3.0,-1050.0,969.0,1366.0,2.0,140.0,0.5,1.0
476,6.0,-2675.0,892.0,1295.0,2.0,71.0,0.5,1.0
479,7.0,-3578.0,817.0,832.0,3.0,110.0,0.5,1.0
484,7.0,-2662.0,812.0,1101.0,2.0,116.0,0.5,1.0
485,3.0,-1533.0,709.0,1429.0,5.0,127.0,0.5,0.0
486,7.0,-1317.0,745.0,692.0,3.0,66.0,0.5,0.0
487,7.0,-976.0,621.0,1264.0,2.0,82.0,0.5,1.0
488,10.0,-3945.0,582.0,1479.0,4.0,88.0,0.5,1.0
490,10.0,-3756.0,784.0,1293.0,4.0,106.0,0.5,1.0
496,7.0,-212.0,806.0,639.0,4.0,118.0,0.5,1.0
497,5.0,-3334.0,691.0,878.0,2.0,84.0,0.5,1.0
498,7.0,-2846.0,509.0,1326.0,4.0,107.0,0.5,1.0
501,4.0,-3659.0,513.0,874.0,4.0,135.0,0.5,0.0
506,6.0,-3877.0,978.0,1109.0,3.0,106.0,0.5,0.0
507,8.0,-3522.0,544.0,793.0,5.0,139.0,0.5,1.0
510,5.0,-4602.0,926.0,819.0,5.0,146.0,0.5,0.0
511,5.0,-2421.0,534.0,988.0,2.0,74.0,0.5,1.0
512,8.0,-2825.0,578.0,902.0,2.0,139.0,0.5,1.0
515,8.0,-2277.0,900.0,907.0,5.0,95.0,0.5,0.0
516,9.0,-2322.0,963.0,1283.0,3.0,137.0,0.5,1.0
517,4.0,-176.0,683.0,576.0,4.0,136.0,0.5,1.0
518,4.0,-2102.0,725.0,1366.0,5.0,97.0,0.5,0.0
520,8.0,-2170.0,649.0,1413.0,2.0,107.0,0.5,1.0
524,6.0,-4791.0,834.0,1218.0,2.0,159.0,0.5,1.0
525,8.0,-3812.0,675.0,805.0,4.0,159.0,0.5,1.0
526,9.0,-1694.0,854.0,1239.0,5.0,91.0,0.5,0.0
529,10.0,-2659.0,652.0,925.0,2.0,125.0,0.5,1.0
532,10.0,-4928.0,809.0,951.0,4.0,83.0,0.5,1.0
540,5.0,-4414.0,534.0,1159.0,3.0,120.0,0.5,1.0
542,8.0,-1168.0,891.0,678.0,5.0,104.0,0.5,0.0
543,3.0,-4504.0,522.0,846.0,5.0,114.0,0.5,0.0
544,5.0,-1184.0,940.0,1102.0,4.0,127.0,0.5,0.0
547,8.0,-4411.0,754.0,1397.0,2.0,97.0,0.5,1.0
552,4.0,-1754.0,675.0,1433.0,3.0,71.0,0.5,1.0
557,9.0,-2156.0,820.0,1196.0,3.0,62.0,0.5,1.0
559,4.0,-4019.0,928.0,1245.0,5.0,84.0,0.5,0.0
563,8.0,-4666.0,755.0,1480.0,5.0,77.0,0.5,1.0
574,10.0,-4378.0,782.0,1008.0,3.0,140.0,0.5,1.0
576,8.0,-4692.0,618.0,1467.0,3.0,158.0,0.5,1.0
577,10.0,-2320.0,680.0,898.0,2.0,122.0,0.5,1.0
581,6.0,-677.0,588.0,1075.0,4.0,84.0,0.5,0.0
587,6.0,-1217.0,691.0,976.0,4.0,128.0,0.5,0.0
588,11.0,-385.0,985.0,605.0,3.0,78.0,0.5,1.0
590,3.0,-2885.0,519.0,631.0,4.0,101.0,0.5,0.0
592,11.0,-4638.0,868.0,1088.0,5.0,130.0,0.5,1.0
593,9.0,-2750.0,533.0,1142.0,2.0,64.0,0.5,1.0
596,5.0,-766.0,566.0,1069.0,4.0,147.0,0.5,0.0
598,6.0,-1874.0,759.0,1002.0,2.0,93.0,0.5,1.0
600,8.0,-181.0,765.0,1158.0,2.0,134.0,0.5,1.0
602,11.0,-4435.0,897.0,760.0,4.0,141.0,0.5,1.0
604,8.0,-1832.0,843.0,1459.0,4.0,136.0,0.5,1.0
608,5.0,-3926.0,750.0,568.0,4.0,68.0,0.5,0.0
612,8.0,-3722.0,573.0,1316.0,4.0,142.0,0.5,1.0
616,8.0,-1159.0,565.0,1347.0,5.0,64.0,0.5,1.0
617,11.0,-854.0,927.0,1258.0,3.0,152.0,0.5,0.0
618,3.0,-612.0,748.0,547.0,2.0,142.0,0.5,1.0
621,10.0,-2327.0,601.0,1466.0,5.0,159.0,0.5,1.0
625,5.0,-2746.0,671.0,1016.0,5.0,123.0,0.5,0.0
628,5.0,-2224.0,819.0,1345.0,5.0,138.0,0.5,0.0
630,8.0,-2037.0,754.0,1494.0,4.0,110.0,0.5,1.0
631,10.0,-615.0,597.0,1170.0,4.0,130.0,0.5,0.0
634,11.0,-4293.0,858.0,1060.0,2.0,158.0,0.5,1.0
636,5.0,-2958.0,574.0,507.0,3.0,117.0,0.5,0.0
637,5.0,-3436.0,511.0,1277.0,2.0,85.0,0.5,1.0
638,5.0,-2444.0,810.0,960.0,3.0,144.0,0.5,0.0
643,8.0,-4244.0,635.0,578.0,3.0,106.0,0.5,1.0
646,11.0,-4375.0,677.0,1130.0,2.0,76.0,0.5,1.0
648,5.0,-196.0,692.0,990.0,4.0,91.0,0.5,1.0
649,6.0,-2249.0,731.0,1071.0,2.0,85.0,0.5,1.0
651,8.0,-4977.0,747.0,1246.0,2.0,114.0,0.5,1.0
653,3.0,-1123.0,724.0,1267.0,3.0,69.0,0.5,1.0
655,10.0,-4449.0,817.0,1435.0,5.0,127.0,0.5,1.0
656,9.0,-3610.0,704.0,1337.0,3.0,73.0,0.5,1.0
659,11.0,-1600.0,995.0,1279.0,2.0,100.0,0.5,1.0
663,8.0,-292.0,667.0,1447.0,5.0,78.0,0.5,0.0
664,11.0,-1324.0,980.0,720.0,4.0,95.0,0.5,0.0
665,10.0,-1643.0,956.0,1362.0,5.0,71.0,0.5,0.0
668,5.0,-4476.0,960.0,1276.0,3.0,79.0,0.5,1.0
670,11.0,-2565.0,987.0,1355.0,2.0,152.0,0.5,1.0
673,10.0,-1209.0,769.0,1265.0,4.0,75.0,0.5,1.0
674,11.0,-4994.0,549.0,1414.0,3.0,119.0,0.5,1.0
677,11.0,-3929.0,929.0,562.0,5.0,97.0,0.5,0.0
678,4.0,-3731.0,854.0,598.0,4.0,109.0,0.5,0.0
679,10.0,-2684.0,545.0,714.0,5.0,103.0,0.5,1.0
680,3.0,-3392.0,500.0,709.0,4.0,143.0,0.5,0.0
682,5.0,-1838.0,844.0,1369.0,3.0,90.0,0.5,1.0
683,4.0,-1506.0,507.0,1002.0,3.0,65.0,0.5,0.0
688,9.0,-3694.0,645.0,1239.0,3.0,137.0,0.5,1.0
690,5.0,-4589.0,673.0,1340.0,2.0,158.0,0.5,1.0
691,11.0,-2341.0,831.0,623.0,2.0,133.0,0.5,1.0
692,4.0,-1054.0,701.0,639.0,2.0,112.0,0.5,1.0
694,8.0,-3587.0,557.0,626.0,4.0,81.0,0.5,1.0
697,7.0,-646.0,844.0,584.0,3.0,67.0,0.5,1.0
698,3.0,-3859.0,725.0,750.0,3.0,147.0,0.5,0.0
701,9.0,-385.0,559.0,1218.0,2.0,152.0,0.5,1.0
706,3.0,-499.0,995.0,1285.0,4.0,80.0,0.5,0.0
707,3.0,-790.0,807.0,1471.0,3.0,78.0,0.5,1.0
710,11.0,-763.0,508.0,1314.0,5.0,108.0,0.5,1.0
711,4.0,-313.0,790.0,1283.0,2.0,78.0,0.5,1.0
712,6.0,-2479.0,604.0,1276.0,3.0,159.0,0.5,1.0
726,9.0,-4227.0,789.0,1284.0,4.0,147.0,0.5,1.0
733,7.0,-2095.0,568.0,1077.0,5.0,60.0,0.5,1.0
735,6.0,-2834.0,912.0,846.0,5.0,142.0,0.5,0.0
736,10.0,-3288.0,993.0,707.0,5.0,68.0,0.5,0.0
739,4.0,-3907.0,506.0,1176.0,5.0,102.0,0.5,0.0
747,9.0,-2973.0,801.0,840.0,4.0,135.0,0.5,0.0
748,6.0,-3049.0,600.0,919.0,4.0,133.0,0.5,1.0
749,10.0,-396.0,587.0,1469.0,3.0,125.0,0.5,1.0
751,10.0,-2279.0,574.0,712.0,4.0,105.0,0.5,1.0
755,6.0,-1971.0,827.0,868.0,5.0,107.0,0.5,0.0
759,4.0,-2685.0,850.0,707.0,2.0,128.0,0.5,1.0
761,6.0,-2443.0,512.0,951.0,3.0,92.0,0.5,1.0
762,4.0,-3883.0,813.0,1178.0,2.0,74.0,0.5,1.0
763,4.0,-2786.0,656.0,1177.0,2.0,64.0,0.5,1.0
770,5.0,-1488.0,762.0,1288.0,5.0,152.0,0.5,0.0
772,6.0,-1294.0,696.0,896.0,4.0,131.0,0.5,0.0
775,5.0,-4273.0,759.0,1364.0,2.0,77.0,0.5,1.0
776,10.0,-1111.0,663.0,1411.0,4.0,92.0,0.5,1.0
777,9.0,-111.0,904.0,561.0,4.0,140.0,0.5,1.0
780,7.0,-2861.0,713.0,1043.0,4.0,64.0,0.5,0.0
783,5.0,-1234.0,685.0,1498.0,2.0,116.0,0.5,1.0
787,4.0,-4050.0,978.0,609.0,5.0,113.0,0.5,0.0
788,9.0,-1694.0,624.0,945.0,3.0,89.0,0.5,1.0
792,9.0,-1368.0,559.0,1485.0,4.0,128.0,0.5,1.0
793,5.0,-2032.0,844.0,1289.0,3.0,93.0,0.5,0.0
799,4.0,-1455.0,961.0,572.0,2.0,87.0,0.5,1.0
802,7.0,-1245.0,874.0,1035.0,2.0,130.0,0.5,1.0
803,9.0,-4760.0,964.0,1265.0,3.0,153.0,0.5,1.0
806,6.0,-2645.0,817.0,528.0,2.0,61.0,0.5,1.0
809,10.0,-1463.0,805.0,977.0,5.0,159.0,0.5,0.0
810,11.0,-1407.0,542.0,528.0,2.0,102.0,0.5,1.0
811,11.0,-4581.0,857.0,584.0,3.0,118.0,0.5,1.0
822,10.0,-4599.0,859.0,844.0,5.0,119.0,0.5,1.0
823,4.0,-910.0,562.0,556.0,5.0,145.0,0.5,0.0
826,6.0,-2702.0,951.0,670.0,2.0,106.0,0.5,1.0
827,3.0,-2703.0,846.0,1248.0,4.0,119.0,0.5,0.0
828,7.0,-2286.0,732.0,1022.0,5.0,126.0,0.5,0.0
834,5.0,-1591.0,954.0,1455.0,4.0,75.0,0.5,0.0
837,9.0,-3003.0,565.0,1327.0,3.0,86.0,0.5,1.0
840,10.0,-1091.0,634.0,518.0,4.0,144.0,0.5,0.0
845,8.0,-2259.0,574.0,1351.0,2.0,74.0,0.5,1.0
847,6.0,-2880.0,695.0,778.0,2.0,140.0,0.5,1.0
849,9.0,-1054.0,794.0,674.0,4.0,112.0,0.5,0.0
866,6.0,-1792.0,684.0,1208.0,4.0,73.0,0.5,0.0
867,8.0,-3770.0,951.0,1228.0,3.0,109.0,0.5,1.0
873,5.0,-1234.0,538.0,882.0,5.0,128.0,0.5,0.0
877,10.0,-1874.0,542.0,824.0,2.0,133.0,0.5,1.0
881,5.0,-1207.0,911.0,1298.0,2.0,69.0,0.5,1.0
883,7.0,-2022.0,777.0,677.0,2.0,91.0,0.5,1.0
885,9.0,-2215.0,969.0,797.0,4.0,64.0,0.5,0.0
888,9.0,-3154.0,565.0,1167.0,2.0,116.0,0.5,1.0
890,4.0,-2749.0,714.0,643.0,5.0,152.0,0.5,0.0
895,9.0,-4596.0,700.0,1231.0,5.0,119.0,0.5,1.0
899,7.0,-302.0,869.0,914.0,4.0,138.0,0.5,1.0
902,6.0,-1261.0,804.0,888.0,2.0,89.0,0.5,1.0
906,5.0,-1089.0,529.0,664.0,2.0,147.0,0.5,1.0
908,8.0,-3514.0,828.0,744.0,3.0,93.0,0.5,1.0
911,7.0,-4297.0,914.0,1071.0,5.0,92.0,0.5,0.0
913,10.0,-3094.0,822.0,1218.0,3.0,153.0,0.5,1.0
918,9.0,-3276.0,515.0,990.0,5.0,97.0,0.5,1.0
920,10.0,-4657.0,825.0,899.0,3.0,147.0,0.5,1.0
922,8.0,-2895.0,591.0,821.0,3.0,115.0,0.5,1.0
924,9.0,-1354.0,519.0,1102.0,3.0,79.0,0.5,1.0
934,11.0,-4433.0,866.0,1498.0,3.0,151.0,0.5,1.0
937,5.0,-3849.0,512.0,1006.0,4.0,133.0,0.5,1.0
938,9.0,-1062.0,757.0,631.0,3.0,98.0,0.5,1.0
939,4.0,-4449.0,999.0,844.0,2.0,84.0,0.5,1.0
942,5.0,-1619.0,985.0,506.0,2.0,91.0,0.5,1.0
947,11.0,-594.0,758.0,561.0,2.0,113.0,0.5,1.0
949,10.0,-4062.0,744.0,1471.0,3.0,123.0,0.5,1.0
953,6.0,-4267.0,991.0,557.0,5.0,148.0,0.5,0.0
954,8.0,-4228.0,917.0,530.0,5.0,158.0,0.5,0.0
958,7.0,-4200.0,661.0,504.0,5.0,123.0,0.5,0.0
963,6.0,-1584.0,903.0,1472.0,3.0,111.0,0.5,0.0
973,3.0,-302.0,767.0,671.0,4.0,83.0,0.5,0.0
974,10.0,-153.0,973.0,1481.0,3.0,110.0,0.5,1.0
978,10.0,-4608.0,610.0,1221.0,5.0,107.0,0.5,1.0
984,4.0,-2597.0,507.0,982.0,5.0,65.0,0.5,0.0
986,3.0,-4857.0,1000.0,1264.0,3.0,69.0,0.5,0.0
988,6.0,-108.0,571.0,1221.0,4.0,128.0,0.5,1.0
990,4.0,-4462.0,899.0,987.0,2.0,110.0,0.5,1.0
992,3.0,-1846.0,579.0,1322.0,4.0,104.0,0.5,0.0
994,11.0,-1655.0,856.0,880.0,2.0,158.0,0.5,1.0
998,10.0,-1905.0,934.0,873.0,2.0,91.0,0.5,1.0
1000,5.0,-235.0,835.0,1422.0,3.0,70.0,0.5,0.0
1007,9.0,-3712.0,786.0,801.0,3.0,107.0,0.5,1.0
1014,8.0,-526.0,903.0,717.0,5.0,129.0,0.5,0.0
1015,5.0,-1875.0,767.0,563.0,3.0,90.0,0.5,0.0
1016,3.0,-4158.0,601.0,882.0,4.0,138.0,0.5,0.0
1019,7.0,-3064.0,765.0,1229.0,4.0,146.0,0.5,1.0
1022,11.0,-1248.0,599.0,1465.0,4.0,109.0,0.5,1.0
1029,7.0,-2633.0,668.0,1482.0,2.0,76.0,0.5,1.0
1033,3.0,-1439.0,977.0,706.0,5.0,114.0,0.5,0.0
1041,9.0,-3176.0,930.0,1485.0,3.0,77.0,0.5,1.0
1042,11.0,-2913.0,661.0,863.0,5.0,147.0,0.5,1.0
1050,9.0,-2364.0,522.0,787.0,2.0,89.0,0.5,1.0
1051,9.0,-313.0,559.0,1412.0,4.0,135.0,0.5,1.0
1054,5.0,-903.0,824.0,529.0,3.0,63.0,0.5,0.0
1060,11.0,-4202.0,929.0,1349.0,5.0,67.0,0.5,1.0
1063,10.0,-4688.0,507.0,1422.0,2.0,125.0,0.5,1.0
1067,11.0,-4741.0,559.0,725.0,3.0,126.0,0.5,1.0
1071,9.0,-4766.0,892.0,1389.0,2.0,70.0,0.5,1.0
1077,4.0,-351.0,956.0,665.0,2.0,145.0,0.5,1.0
1080,11.0,-4611.0,836.0,1366.0,2.0,125.0,0.5,1.0
1081,9.0,-2864.0,693.0,1354.0,3.0,76.0,0.5,1.0
1084,5.0,-4780.0,665.0,952.0,5.0,76.0,0.5,0.0
1085,7.0,-2169.0,589.0,929.0,3.0,78.0,0.5,1.0
1090,8.0,-732.0,531.0,1446.0,2.0,86.0,0.5,1.0
1096,8.0,-2523.0,938.0,861.0,5.0,125.0,0.5,0.0
1097,3.0,-100.0,531.0,1124.0,2.0,159.0,0.5,1.0
1098,10.0,-1137.0,532.0,937.0,3.0,104.0,0.5,1.0
1109,10.0,-1812.0,904.0,951.0,4.0,96.0,0.5,0.0
1113,10.0,-3377.0,644.0,1142.0,5.0,129.0,0.5,1.0
1116,3.0,-531.0,710.0,504.0,4.0,93.0,0.5,0.0
1119,10.0,-4566.0,737.0,1036.0,2.0,150.0,0.5,1.0
1123,11.0,-3254.0,729.0,655.0,3.0,142.0,0.5,1.0
1125,3.0,-4633.0,790.0,1224.0,5.0,106.0,0.5,0.0
1127,5.0,-1080.0,577.0,708.0,2.0,71.0,0.5,1.0
1130,5.0,-925.0,793.0,683.0,2.0,153.0,0.5,1.0
1134,4.0,-3160.0,527.0,913.0,3.0,105.0,0.5,1.0
1137,5.0,-1772.0,839.0,749.0,2.0,83.0,0.5,1.0
1141,6.0,-153.0,710.0,1079.0,2.0,97.0,0.5,1.0
1143,8.0,-3180.0,884.0,1055.0,4.0,127.0,0.5,0.0
1145,7.0,-3453.0,919.0,1327.0,5.0,87.0,0.5,0.0
1146,8.0,-3785.0,754.0,1499.0,3.0,130.0,0.5,1.0
