,N,F0,m,d_ms,d0,v0,prob,collision
2,7.0,-3661.0,805.0,1182.0,3.0,92.0,0.5,1.0
4,4.0,-555.0,680.0,1289.0,3.0,74.0,0.5,0.0
6,10.0,-548.0,902.0,1382.0,5.0,88.0,0.5,0.0
8,5.0,-456.0,639.0,874.0,2.0,92.0,0.5,1.0
11,7.0,-4044.0,677.0,808.0,3.0,103.0,0.5,1.0
16,9.0,-4241.0,681.0,1313.0,4.0,118.0,0.5,1.0
17,7.0,-2746.0,683.0,675.0,2.0,89.0,0.5,1.0
19,3.0,-4792.0,779.0,1340.0,5.0,91.0,0.5,0.0
20,7.0,-200.0,847.0,726.0,2.0,152.0,0.5,1.0
23,9.0,-1706.0,593.0,942.0,4.0,63.0,0.5,0.0
27,7.0,-464.0,862.0,899.0,2.0,94.0,0.5,1.0
29,3.0,-1749.0,855.0,1194.0,5.0,85.0,0.5,0.0
30,3.0,-4339.0,727.0,895.0,2.0,151.0,0.5,1.0
31,6.0,-2720.0,721.0,983.0,3.0,130.0,0.5,0.0
37,10.0,-4684.0,899.0,906.0,2.0,136.0,0.5,1.0
39,9.0,-3371.0,938.0,965.0,2.0,113.0,0.5,1.0
41,4.0,-1161.0,665.0,1376.0,5.0,71.0,0.5,0.0
42,4.0,-2514.0,697.0,1414.0,3.0,114.0,0.5,0.0
44,9.0,-1387.0,791.0,1106.0,5.0,130.0,0.5,0.0
46,3.0,-1413.0,613.0,1233.0,4.0,156.0,0.5,0.0
47,3.0,-3784.0,806.0,880.0,2.0,154.0,0.5,1.0
48,7.0,-1355.0,892.0,966.0,5.0,84.0,0.5,0.0
53,9.0,-4531.0,550.0,604.0,2.0,66.0,0.5,1.0
54,6.0,-2879.0,983.0,991.0,2.0,79.0,0.5,1.0
58,6.0,-2685.0,614.0,680.0,5.0,66.0,0.5,0.0
59,9.0,-839.0,666.0,597.0,2.0,109.0,0.5,1.0
60,7.0,-1800.0,760.0,997.0,5.0,147.0,0.5,0.0
