if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 <= 10.805 and age > 62.5 and x1 > 5.051 then class: 0 | based on 87 samples | coverage 3.54% | error 0.0% | relevance 3.54

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 <= 3.415 and x2 <= 3.361 and x1 <= 10.39 and age > 60.5 and x1 <= 5.007 then class: 1 | based on 83 samples | coverage 3.27% | error 0.0% | relevance 3.27

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 <= 3.415 and x2 <= 3.361 and x1 <= 10.39 and age > 60.5 and x1 > 5.007 then class: 0 | based on 75 samples | coverage 3.05% | error 0.0% | relevance 3.05

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 <= 4.389 and x1 <= 8.437 and age > 29.5 and x1 <= 5.099 and age > 45.0 then class: 1 | based on 74 samples | coverage 2.91% | error 0.0% | relevance 2.91

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 > 12.544 and age > 45.0 then class: 0 | based on 72 samples | coverage 2.93% | error 0.0% | relevance 2.93

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 <= 3.415 and x2 <= 3.361 and x1 <= 10.39 and age <= 60.5 and x1 > 4.835 and age <= 45.0 then class: 1 | based on 62 samples | coverage 2.44% | error 0.0% | relevance 2.44

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 <= 4.389 and x1 <= 8.437 and age <= 29.5 and x1 <= 4.935 then class: 0 | based on 58 samples | coverage 2.36% | error 0.0% | relevance 2.36

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 > 11.825 and age > 27.5 and x1 <= 5.629 and age > 45.0 and x1 <= 4.976 then class: 1 | based on 55 samples | coverage 2.17% | error 0.0% | relevance 2.17

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 <= 11.648 and x2 <= 11.61 and x1 > 2.755 and age <= 45.0 and x1 > 4.918 then class: 1 | based on 55 samples | coverage 2.17% | error 0.0% | relevance 2.17

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 <= 11.648 and x2 <= 11.61 and x1 <= 2.755 and age > 45.0 then class: 1 | based on 53 samples | coverage 2.09% | error 0.0% | relevance 2.09

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 <= 4.389 and x1 > 8.437 and age <= 45.0 then class: 1 | based on 51 samples | coverage 2.01% | error 0.0% | relevance 2.01

