if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 <= 1.11 and x2 <= 1.015 and age <= 28.5 and x1 > 4.896 then class: 1 | based on 104 samples | coverage 4.21% | error 0.0% | relevance 4.21

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 > 11.7 and x1 > -2.169 and x2 > 11.769 and x1 <= 12.158 and age <= 65.5 and x1 <= 5.008 and age <= 45.0 and x1 <= 4.888 then class: 0 | based on 100 samples | coverage 3.96% | error 0.0% | relevance 3.96

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 <= 11.7 and x1 > -2.597 and x1 <= 3.676 and age <= 45.0 then class: 0 | based on 100 samples | coverage 3.96% | error 0.0% | relevance 3.96

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 <= -0.508 and age <= 69.5 and x1 > 1.207 and age > 45.0 and x1 <= 4.97 then class: 1 | based on 98 samples | coverage 3.96% | error 0.0% | relevance 3.96

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 <= 1.11 and x2 <= 1.015 and age > 28.5 and x1 <= 4.973 and age > 45.0 then class: 1 | based on 96 samples | coverage 3.88% | error 0.0% | relevance 3.88

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 <= 1.11 and x2 <= 1.015 and age <= 28.5 and x1 <= 4.896 then class: 0 | based on 90 samples | coverage 3.56% | error 0.0% | relevance 3.56

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 <= -0.508 and age <= 69.5 and x1 <= 1.207 and age > 45.0 then class: 1 | based on 88 samples | coverage 3.56% | error 0.0% | relevance 3.56

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 <= -0.508 and age <= 69.5 and x1 > 1.207 and age <= 45.0 and x1 <= 4.976 then class: 0 | based on 79 samples | coverage 3.13% | error 0.0% | relevance 3.13

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 > 7.828 and x2 > 7.887 and x2 > 7.999 and x1 > -2.492 and x1 > -2.264 and x1 <= 12.889 and x1 <= 12.748 and x2 <= 9.643 and x1 > -1.952 and x1 > -0.486 and age > 45.0 and x1 <= 4.884 then class: 1 | based on 76 samples | coverage 3.07% | error 0.0% | relevance 3.07

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 > 11.7 and x1 > -2.169 and x2 > 11.769 and x1 <= 12.158 and age <= 65.5 and x1 > 5.008 and age <= 45.0 then class: 1 | based on 75 samples | coverage 3.03% | error 0.0% | relevance 3.03

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 > 2.552 and x2 > 2.606 and x1 > 11.744 and age > 45.0 then class: 0 | based on 73 samples | coverage 2.89% | error 0.0% | relevance 2.89

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 > 1.895 and x2 <= 2.534 and age <= 63.5 and x1 <= 4.976 and age <= 45.0 then class: 0 | based on 56 samples | coverage 2.22% | error 0.0% | relevance 2.22

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 > 2.552 and x2 > 2.606 and x1 > 11.744 and age <= 45.0 then class: 1 | based on 55 samples | coverage 2.22% | error 0.0% | relevance 2.22

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 > 11.7 and x1 > -2.169 and x2 > 11.769 and x1 <= 12.158 and age <= 65.5 and x1 > 5.008 and age > 45.0 then class: 0 | based on 44 samples | coverage 1.74% | error 0.0% | relevance 1.74

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 <= 1.895 and age <= 29.5 and x1 > 4.958 then class: 1 | based on 43 samples | coverage 1.74% | error 0.0% | relevance 1.74

