if x2 <= -2.906 and x2 > -2.994 and age <= 20.5 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= -2.906 and x2 > -2.994 and age > 20.5 and x2 <= -2.93 and x1 > 11.337 and x1 <= 11.658 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.906 and x2 > -2.698 and x2 <= -2.62 and x2 <= -2.649 and x2 > -2.65 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.906 and x2 <= -2.698 and x2 > -2.863 and x2 > -2.804 and x1 > 3.32 and age > 44.0 and x1 <= 4.651 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.906 and x2 <= -2.698 and x2 > -2.863 and x2 <= -2.804 and x2 <= -2.85 and x2 <= -2.861 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.906 and x2 > -2.698 and x2 <= -2.62 and x2 <= -2.649 and x2 <= -2.65 and x2 > -2.66 and x2 <= -2.657 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.906 and x2 <= -2.698 and x2 > -2.863 and x2 <= -2.804 and x2 <= -2.85 and x2 > -2.861 and x1 > 4.536 and age <= 60.5 and x2 <= -2.856 and x1 <= 5.91 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.906 and x2 <= -2.698 and x2 > -2.863 and x2 <= -2.804 and x2 <= -2.85 and x2 > -2.861 and x1 > 4.536 and age <= 60.5 and x2 <= -2.856 and x1 > 5.91 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= -2.906 and x2 <= -2.994 and x2 <= -2.998 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

